"CntryResdnc","Age","Gender","Kids","Education","WorkStatus","AnnualIncome","CurrOccption","PostHeldYrs","PostHeldMths","CmmuntySize","MaritlStatus","SonsCnt","DaughtersCnt","D1DsnTmeWst","D2DelayActn","D3HesitatDsn","D4DelayDsn","D5PutoffDsn","A1BillsOnTm","A2OnTm4Appt","A3Rdy4NxtDy","A4RuningLate","A5ActvtDlyd","A6TmeMgmtTrg","A7FrndsOpn","A8ImpTskOnTm","A9MissDedlns","A10RnOutOfTm","A11DrAptOnTm","A12MorPnctul","A13RtneMntnc","A14SchdulLte","A15DldActCst","G1LteToTsk","G2LteTktPrch","G3PlnPrtyAhd","G4GetUpOnTme","G5PstLtrOnTm","G6RtrnCalls","G7DlyEsyTsks","G8PrmptDscsn","G9DlyTskStrt","G10TrvlRsh","G11RdyOnTme","G12StayOnTsk","G13SmlBlOnTm","G14PrmptRSVP","G15TskCmpErl","G16LstMntGft","G17DlyEsntPr","G18DyTskCmpl","G19PshTskTmr","G20CmpTskRlx","S1LfClsI2dl","S2LfCndExlnt","S3StsfdWtLf","S4GtImThgsLf","S5LvAgChgNth","CnsdrSlfProc","OthCsndrProc","DPMean","AIPMean","GPMean","SWLSMean","HDI","HumDev_Categ"
"United States",45,"Female","Yes Kids","ltuni","full-time",35000,"Dental & Disability Coordinator",2,0,"Small Town","Divorced",2,1,3,3,2,2,2,3,3,5,5,3,4,4,3,3,4,2,4,4,4,4,4,2,2,5,2,2,2,3,3,3,4,4,4,2,4,4,4,3,4,4,2,3,4,4,3,"yes","yes",2.4,3.66666666666667,3.25,3.2,0.92,"VHigh"
"United States",37.5,"Female","No Kids","deg","full-time",67500,"writer",10,0,"Small Town","Married",0,0,2,3,2,1,1,1,2,2,4,1,4,3,2,2,3,2,2,1,3,1,2,1,1,3,2,3,3,2,3,3,2,2,4,3,3,3,3,2,1,1,5,5,4,5,5,"yes","no",1.8,2.2,2.35,4.8,0.92,"VHigh"
"United States",32.5,"Female","Yes Kids","deg","unemployed",10000," houswife",2,0,"Medium-Sized","Married",1,1,4,5,5,5,5,5,4,5,1,5,5,5,5,5,5,4,5,5,4,5,5,4,4,5,5,3,5,4,5,5,5,5,4,4,1,5,5,5,4,5,1,1,2,2,1,"yes","yes",4.8,4.53333333333333,4.4,1.4,0.92,"VHigh"
"United States",55,"Female","No Kids","ma","full-time",87500,"writer/editor",5,0,"Medium-Sized","Married",0,0,4,4,4,3,3,1,1,2,4,3,2,2,4,3,4,2,3,3,2,3,4,4,3,4,2,3,4,4,4,4,2,4,3,3,4,4,3,4,4,4,3,2,3,3,3,"yes","no",3.6,2.6,3.55,2.8,0.92,"VHigh"
"United States",55,"Male","No Kids","phd","full-time",150000,"college professor",17,6,"Medium-Sized","Single",0,0,3,3,3,3,3,1,2,4,4,4,3,4,3,3,4,3,4,2,4,4,4,2,1,4,3,2,4,4,3,3,4,3,1,2,4,4,3,5,4,5,3,3,3,5,2,"yes","yes",3,3.26666666666667,3.25,3.2,0.92,"VHigh"
"United States",55,"Female","Yes Kids","deg","full-time",55000,"Nurse",3,0,"Large-City","Married",2,0,3,3,2,2,2,2,2,2,3,3,2,3,4,3,3,3,5,4,3,3,3,2,3,2,4,2,3,3,3,3,2,4,2,3,4,4,3,4,3,4,3,3,4,4,2,"yes","yes",2.4,3,3.05,3.2,0.92,"VHigh"
"United States",32.5,"Female","No Kids","ma","full-time",45000,"Missing",1,3,"Medium-Sized","Married",0,0,3,3,4,3,3,2,2,5,3,2,1,3,4,2,4,3,3,3,3,2,4,4,3,3,4,2,4,4,4,2,3,3,3,3,4,4,3,3,4,3,3,3,4,3,2,"yes","no",3.2,2.8,3.35,3,0.92,"VHigh"
"United States",19,"Female","No Kids","ltuni","student",10000,"Nanny and student",7,0,"Medium-Sized","Single",0,0,2,4,2,1,1,1,1,1,5,1,4,4,4,2,5,1,5,1,4,1,3,2,2,5,4,1,2,4,5,4,5,4,1,2,5,4,5,4,3,4,4,4,3,2,5,"yes","no",2,2.66666666666667,3.45,3.6,0.92,"VHigh"
"United States",45,"Female","Yes Kids","deg","part-time",35000,"Program Coordinator",1,0,"Large Town","Married",2,0,2,2,1,1,1,1,1,5,3,2,2,1,2,1,3,4,3,2,1,1,2,1,1,2,3,3,2,2,3,2,2,3,1,2,2,3,2,3,2,1,4,4,4,5,4,"no","no",1.4,2.13333333333333,2.1,4.2,0.92,"VHigh"
"United States",55,"Male","Yes Kids","phd","full-time",150000,"student",10,10,"Medium-Sized","Married",2,2,3,4,5,3,3,1,2,5,4,3,1,5,4,3,4,4,3,1,3,3,3,2,3,1,5,1,3,5,5,3,5,4,1,5,4,5,5,4,4,4,3,3,3,3,2,"yes","yes",3.6,3.06666666666667,3.6,2.8,0.92,"VHigh"
"United States",55,"Male","Yes Kids","ma","full-time",150000,"engineer",28,0,"Small City","Married",3,1,4,4,3,3,3,2,3,5,4,4,4,4,3,3,4,3,4,4,3,3,3,2,4,3,3,3,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,2,"yes","yes",3.4,3.53333333333333,3.55,2.8,0.92,"VHigh"
"United States",32.5,"Female","No Kids","phd","full-time",35000,"Missing",2,0,"Medium-Sized","Divorced",0,0,1,1,2,1,1,1,1,4,3,1,1,1,1,1,1,5,3,4,1,2,3,1,1,2,4,2,5,1,2,1,2,4,4,5,1,5,1,2,2,1,5,5,5,5,4,"no","no",1.2,2,2.45,4.8,0.92,"VHigh"
"United States",28,"Male","No Kids","ltuni","part-time",10000,"Missing",2,4,"Rural/Country","Single",0,0,2,3,3,5,5,3,4,3,1,5,2,1,1,5,3,3,3,5,1,4,5,3,1,3,3,1,4,4,5,1,4,3,1,1,2,5,5,5,5,4,5,4,5,5,1,"yes","no",3.6,2.93333333333333,3.25,4,0.92,"VHigh"
"United States",45,"Female","Yes Kids","ltuni","full-time",15000,"Missing",17,0,"Small City","Divorced",3,0,4,2,3,2,2,5,3,5,3,2,5,3,4,2,2,3,2,4,1,5,2,1,1,4,3,3,3,2,3,2,4,3,5,3,3,2,3,5,5,5,2,1,1,1,3,"no","no",2.6,3.26666666666667,3.1,1.6,0.92,"VHigh"
"United States",37.5,"Male","Yes Kids","phd","part-time",45000,"college professor",0,2,"Large Town","Married",0,1,4,4,4,4,4,1,1,5,2,4,3,3,4,4,4,2,2,3,2,2,4,3,3,3,2,3,4,4,4,2,2,4,2,2,4,4,4,4,3,4,2,2,2,2,2,"yes","yes",4,2.8,3.25,2,0.92,"VHigh"
"United States",28,"Male","No Kids","ltuni","full-time",15000,"Server",0,5,"Small City","Single",0,0,3,1,3,2,2,2,3,5,2,4,1,3,4,4,5,1,5,5,4,5,1,2,3,3,4,5,4,5,5,3,3,5,4,4,4,3,3,5,5,5,2,3,3,3,5,"yes","yes",2.2,3.53333333333333,3.8,3.2,0.92,"VHigh"
"United States",45,"Female","No Kids","ma","full-time",67500,"Collection management specialist",0,8,"Large-City","Single",0,0,3,3,3,3,3,1,2,2,3,3,4,3,3,3,3,2,3,3,3,3,3,2,2,3,4,2,3,3,3,3,3,3,4,2,3,3,3,3,3,4,4,4,4,4,4,"yes","no",3,2.73333333333333,2.95,4,0.92,"VHigh"
"United States",32.5,"Female","No Kids","deg","part-time",15000,"Clutter clearer,  video editor, caterer",2,0,"Large-City","Single",0,0,2,1,2,2,2,1,3,1,4,4,2,4,3,4,4,1,4,3,4,3,2,1,1,3,1,4,2,3,3,2,2,4,1,1,2,3,2,2,2,1,4,4,4,3,4,"yes","yes",1.8,3,2.1,3.8,0.92,"VHigh"
"United States",28,"Female","No Kids","ma","student",15000,"Missing",0,0,"Medium-Sized","Single",0,0,4,5,5,4,4,1,3,4,5,5,1,5,5,5,5,1,5,5,5,4,4,1,1,5,1,1,2,4,4,5,4,4,1,1,5,5,1,5,5,5,3,3,3,2,2,"yes","yes",4.4,3.93333333333333,3.2,2.6,0.92,"VHigh"
"United States",24,"Male","No Kids","ma","student",15000,"Missing",0,0,"Large-City","Single",0,0,3,3,1,2,2,3,2,5,2,3,1,2,2,3,3,3,2,4,3,3,4,3,4,3,5,3,3,2,3,3,4,3,3,3,3,3,2,3,3,4,2,2,3,3,3,"no","no",2.2,2.73333333333333,3.2,2.6,0.92,"VHigh"
"United States",37.5,"Female","No Kids","ltuni","full-time",67500,"project manager",5,0,"Small Town","Single",0,0,2,4,4,3,3,4,1,2,3,2,5,3,3,2,3,3,1,4,1,4,4,2,2,1,4,4,3,4,4,2,4,4,3,4,3,5,5,3,4,4,1,1,1,1,2,"yes","yes",3.2,2.73333333333333,3.45,1.2,0.92,"VHigh"
"United States",45,"Female","No Kids","phd","full-time",250000,"director",4,0,"Large-City","Single",0,0,5,5,5,4,4,5,4,3,5,5,2,5,5,5,5,5,5,4,4,5,5,4,4,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,1,1,"yes","yes",4.6,4.46666666666667,4.65,1.4,0.92,"VHigh"
"United States",67.5,"Female","No Kids","ma","part-time",25000,"Self-employed Family Therapist",17,0,"Medium-Sized","Divorced",0,0,3,3,3,3,3,1,2,4,3,3,2,3,3,2,2,3,4,2,4,1,3,1,2,3,2,1,3,3,2,2,4,2,1,1,3,2,2,3,3,3,2,2,2,3,3,"yes","no",3,2.6,2.3,2.4,0.92,"VHigh"
"United States",22,"Female","No Kids","ma","full-time",35000," teacher",0,9,"Large-City","Single",0,0,2,4,4,1,1,2,2,4,4,1,1,1,3,1,1,5,5,5,3,2,3,1,2,3,4,4,3,4,3,4,4,3,3,3,4,4,4,2,4,2,5,5,5,5,3,"no","no",2.4,2.66666666666667,3.2,4.6,0.92,"VHigh"
"United States",45,"Female","Yes Kids","deg","full-time",55000,"Graphic Designer",17,0,"Small Town","Married",3,0,2,3,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,4,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,3,3,2,2,2,1,1,1,1,1,"no","no",1.8,1.4,1.75,1,0.92,"VHigh"
"United States",45,"Male","No Kids","ltuni","part-time",25000,"manager",8,0,"Small Town","Married",0,0,3,4,4,4,4,2,3,2,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,5,4,3,2,3,3,2,"yes","yes",3.8,3.6,3.65,2.6,0.92,"VHigh"
"United States",67.5,"Female","Yes Kids","deg","retired",55000,"Missing",0,0,"Medium-Sized","Divorced",2,1,3,3,2,2,2,1,1,4,2,3,1,1,3,2,2,3,4,4,1,3,3,2,2,1,3,1,3,3,3,1,2,3,1,1,4,3,3,4,3,4,3,3,4,3,3,"yes","no",2.4,2.33333333333333,2.5,3.2,0.92,"VHigh"
"United States",55,"Female","No Kids","deg","retired",87500,"Missing",0,0,"Large-City","Married",0,0,4,3,3,1,1,1,2,2,3,2,1,3,1,2,4,1,3,2,3,1,3,2,1,4,1,2,3,3,3,1,1,3,1,1,3,3,2,3,3,4,4,4,5,5,4,"yes","yes",2.4,2.06666666666667,2.35,4.4,0.92,"VHigh"
"United States",28,"Female","Yes Kids","dip","full-time",45000,"special education teacher",10,0,"Large-City","Married",1,1,4,4,4,5,5,4,4,5,5,4,4,4,4,5,5,5,5,4,4,5,4,4,2,4,5,4,4,3,4,4,5,4,3,4,4,4,4,4,4,5,2,4,2,3,2,"yes","yes",4.4,4.46666666666667,3.95,2.6,0.92,"VHigh"
"United States",25,"Female","No Kids","dip","full-time",25000,"Camera Coordinator",0,3,"Medium-Sized","Divorced",0,0,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,4,1,2,4,2,2,3,2,1,2,3,2,4,4,4,4,5,"no","no",1.4,1.53333333333333,2.05,4.2,0.92,"VHigh"
"United States",55,"Male","No Kids","deg","full-time",35000,"Missing",17,0,"Medium-Sized","Single",0,0,3,4,4,2,2,2,1,3,2,2,1,1,3,2,3,3,1,1,1,2,4,1,3,2,4,1,3,3,3,3,2,3,5,5,3,4,4,4,3,4,3,3,3,3,4,"yes","no",3,1.86666666666667,3.2,3.2,0.92,"VHigh"
"United States",45,"Male","No Kids","ltuni","full-time",150000,"Designer",23,0,"Medium-Sized","Single",0,0,3,4,2,3,3,3,1,4,3,4,4,3,2,4,4,4,2,4,2,4,3,2,2,3,2,4,3,2,3,3,2,2,4,4,3,4,3,3,3,2,4,4,4,4,3,"yes","yes",3,3.2,2.85,3.8,0.92,"VHigh"
"United States",28,"Female","No Kids","deg","student",15000,"Missing",0,0,"Medium-Sized","Single",0,0,3,4,5,5,5,5,3,3,4,5,5,4,3,5,5,3,3,3,2,5,4,5,3,4,4,4,4,1,4,4,4,4,1,3,4,5,5,5,5,5,2,3,3,3,3,"yes","no",4.4,3.86666666666667,3.9,2.8,0.92,"VHigh"
"United States",20,"Female","No Kids","dip","student",10000,"Produce Associate",1,7,"Rural/Country","Single",0,0,2,3,4,3,3,1,1,3,2,2,1,3,3,2,2,3,3,2,3,2,2,2,2,1,2,2,2,4,3,2,2,3,2,4,3,5,3,4,2,3,5,4,4,4,4,"no","no",3,2.2,2.65,4.2,0.92,"VHigh"
"United States",45,"Male","No Kids","ma","full-time",45000," teacher",9,0,"Large-City","Married",0,0,3,2,1,3,3,2,1,3,2,3,4,1,3,3,3,2,2,3,2,4,4,3,2,5,3,4,3,3,3,1,4,4,2,4,3,3,2,4,3,4,4,3,2,3,1,"yes","no",2.4,2.53333333333333,3.2,2.6,0.92,"VHigh"
"United States",45,"Female","Yes Kids","ltuni","student",15000,"Missing",0,0,"Rural/Country","Married",2,7,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,2,2,2,3,2,3,2,2,3,2,2,3,3,3,2,3,3,3,2,3,2,2,3,3,2,3,3,5,3,4,"yes","no",3,2.53333333333333,2.55,3.6,0.92,"VHigh"
"United States",67.5,"Female","Yes Kids","high","full-time",25000,"supervisor shelderd workshop for handcap",10,5,"Missing","Married",2,0,3,3,2,2,2,1,1,3,1,1,5,5,2,2,3,5,1,1,1,2,3,3,4,1,3,3,3,2,4,2,3,3,1,3,3,4,4,3,3,3,4,3,5,5,3,"Missing","Missing",2.4,2.26666666666667,2.9,4,0.92,"VHigh"
"United States",55,"Female","Yes Kids","ltuni","full-time",35000,"Braillist",14,0,"Medium-Sized","Divorced",2,0,3,4,5,3,3,1,1,4,1,1,1,1,1,1,1,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,3,1,3,1,1,1,3,1,"no","no",3.6,1.6,1.4,1.4,0.92,"VHigh"
"United States",55,"Female","Yes Kids","deg","full-time",45000,"election services",23,0,"Large-City","Married",1,2,1,1,1,1,1,2,2,2,1,1,4,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,3,1,2,1,2,1,1,2,1,1,2,2,3,3,2,"no","no",1,1.73333333333333,1.35,2.4,0.92,"VHigh"
"United States",32.5,"Female","Yes Kids","dip","student",10000," houswife",0,6,"Small City","Married",4,0,3,3,1,2,2,1,2,3,4,3,5,2,3,3,4,2,4,2,3,3,3,1,1,3,2,2,2,2,3,3,2,4,1,2,3,1,1,3,2,2,4,4,4,5,4,"yes","no",2.2,2.93333333333333,2.15,4.2,0.92,"VHigh"
"United States",55,"Female","Yes Kids","deg","full-time",35000,"manager",13,0,"Small Town","Single",1,1,4,3,4,3,3,3,1,3,1,3,5,1,3,3,3,3,1,3,1,3,3,2,3,5,4,3,3,4,3,2,4,3,4,5,3,4,4,4,4,4,2,3,3,3,2,"yes","yes",3.4,2.46666666666667,3.55,2.6,0.92,"VHigh"
"United States",21,"Female","No Kids","ltuni","full-time",45000,"Missing",0,4,"Small Town","Married",0,0,3,3,3,3,3,3,3,2,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"yes","yes",3,3,3,3,0.92,"VHigh"
"United States",24,"Male","No Kids","high","full-time",25000,"Corrections",4,3,"Large Town","Married",0,0,2,1,2,1,1,4,1,4,1,2,1,4,2,3,2,4,1,2,1,5,3,1,4,4,1,1,3,1,1,2,2,3,3,5,3,5,5,3,5,4,4,2,4,3,2,"yes","yes",1.4,2.46666666666667,2.95,3,0.92,"VHigh"
"United States",80,"Female","Yes Kids","ma","retired",45000,"Missing",0,0,"Medium-Sized","Widowed",1,1,5,5,4,3,3,1,2,5,3,4,1,1,3,2,4,1,2,1,1,1,3,4,2,5,2,1,3,3,4,4,3,4,1,1,3,4,2,5,1,4,1,2,1,3,3,"yes","no",4,2.13333333333333,2.95,2,0.92,"VHigh"
"United States",32.5,"Male","Yes Kids","ma","full-time",150000,"manager",3,0,"Large-City","Married",0,1,4,4,4,3,3,1,2,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,3,5,4,4,4,4,4,3,4,4,2,4,4,5,4,4,4,4,3,4,4,4,3,"yes","yes",3.6,3.2,3.85,3.6,0.92,"VHigh"
"United States",37.5,"Male","Yes Kids","deg","full-time",35000,"Probation Supervisor",0,3,"Medium-Sized","Married",2,0,3,4,4,3,3,2,2,4,3,2,2,4,3,2,3,4,3,4,2,4,4,2,3,3,3,3,4,3,3,3,3,4,4,4,4,4,3,4,4,4,3,2,3,4,2,"yes","yes",3.4,2.93333333333333,3.45,2.8,0.92,"VHigh"
"United States",45,"Female","Yes Kids","ltuni","unemployed",10000,"Missing",0,0,"Small City","Divorced",0,2,4,4,4,4,4,5,3,5,5,4,3,5,3,4,4,5,5,5,5,5,5,1,5,3,5,3,5,5,5,4,5,4,5,5,4,5,5,3,4,4,1,1,1,1,1,"yes","yes",4,4.4,4.25,1,0.92,"VHigh"
"United States",20,"Male","No Kids","ltuni","full-time",25000,"Bank Teller",1,2,"Medium-Sized","Single",0,0,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,2,3,2,3,3,3,3,2,3,3,3,3,2,3,3,4,3,3,3,3,3,2,2,"yes","yes",2.8,3.13333333333333,2.85,2.6,0.92,"VHigh"
"United States",32.5,"Male","Yes Kids","ltuni","full-time",45000,"Computer Operator",5,4,"Large-City","Married",1,0,2,2,3,2,2,1,1,5,1,2,3,2,2,1,2,4,1,3,1,2,2,1,1,3,2,3,3,3,3,1,1,2,2,1,1,4,3,3,2,3,2,3,2,2,2,"no","yes",2.2,2.06666666666667,2.2,2.2,0.92,"VHigh"
"United States",28,"Female","No Kids","deg","full-time",35000,"Case Manager",0,2,"Small City","Single",0,0,5,5,5,5,5,2,3,5,5,5,4,5,5,2,5,5,4,4,3,5,5,5,5,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,4,3,4,3,"yes","yes",5,4.13333333333333,4.8,3.2,0.92,"VHigh"
"United States",28,"Female","Yes Kids","ltuni","full-time",55000,"LPN",4,0,"Medium-Sized","Separated",3,1,4,3,4,3,2,4,4,4,4,3,4,5,3,2,1,4,4,1,3,3,4,3,3,4,3,4,4,3,4,3,5,4,2,4,4,3,3,4,3,5,1,1,1,1,5,"yes","yes",3.2,3.26666666666667,3.6,1.8,0.92,"VHigh"
"United States",55,"Male","No Kids","ma","part-time",250000,"President",3,0,"Small City","Married",0,0,2,3,2,2,2,2,3,3,4,2,1,4,3,3,2,2,4,2,4,3,4,2,2,4,4,4,3,4,4,4,4,3,4,4,4,3,2,4,4,3,4,4,4,4,4,"yes","no",2.2,2.8,3.5,4,0.92,"VHigh"
"United States",32.5,"Female","No Kids","deg","student",10000,"Massage Therapist",0,2,"Large-City","Married",0,0,3,3,3,3,3,2,1,4,3,2,3,3,3,2,3,3,4,3,1,3,3,3,3,2,3,3,3,3,4,1,3,3,3,2,3,3,3,3,4,3,4,4,4,4,4,"yes","no",3,2.66666666666667,2.9,4,0.92,"VHigh"
"United States",45,"Male","No Kids","ltuni","full-time",55000,"Missing",2,0,"Small Town","Single",0,0,3,3,2,3,2,2,3,2,4,3,1,4,4,2,3,3,4,3,4,3,3,1,4,3,3,4,4,3,3,3,5,3,3,4,4,5,4,3,3,3,3,3,2,2,1,"yes","yes",2.6,3,3.4,2.2,0.92,"VHigh"
"United States",45,"Male","No Kids","ma","full-time",250000,"vice president",3,0,"Large-City","Married",0,0,4,4,3,3,3,1,1,3,3,3,4,2,3,1,4,5,1,2,1,5,4,1,3,1,1,1,3,2,4,1,2,5,1,4,3,4,1,4,4,4,3,3,2,3,1,"yes","no",3.4,2.6,2.65,2.4,0.92,"VHigh"
"United States",32.5,"Female","No Kids","ltuni","full-time",35000,"Traffic Reporter-Radio",5,7,"Large-City","Single",0,0,3,2,2,3,2,1,2,1,3,2,2,2,3,2,3,2,3,1,3,2,3,1,1,2,1,2,2,2,4,3,3,3,2,2,2,4,2,3,2,2,4,4,4,3,5,"yes","no",2.4,2.13333333333333,2.3,4,0.92,"VHigh"
"United States",28,"Male","No Kids","deg","student",-0.01,"Missing",2,0,"Medium-Sized","Single",0,0,4,4,4,4,4,4,3,3,4,4,5,4,4,3,4,3,3,5,2,5,4,2,4,5,4,3,4,5,3,3,2,4,4,4,4,4,4,3,3,4,3,5,4,4,4,"yes","yes",4,3.73333333333333,3.65,4,0.92,"VHigh"
"United States",45,"Female","No Kids","ma","full-time",35000,"Residential Services Supervisor",1,7,"Medium-Sized","Married",0,0,2,3,2,1,1,1,1,1,3,2,5,1,3,2,4,3,2,3,3,3,3,2,2,3,2,2,1,2,1,3,3,2,1,4,2,4,1,1,1,2,4,5,5,4,4,"no","no",1.8,2.46666666666667,2.1,4.4,0.92,"VHigh"
"United States",32.5,"Male","No Kids","deg","full-time",45000,"Language Service Provider",2,0,"Large-City","Single",0,0,3,2,2,2,2,2,3,5,4,1,1,5,4,2,4,5,5,5,4,3,4,3,4,2,4,4,4,2,4,5,5,4,3,3,4,5,4,4,4,4,1,3,2,1,1,"yes","yes",2.2,3.53333333333333,3.8,1.6,0.92,"VHigh"
"United States",55,"Female","No Kids","phd","full-time",87500,"Attorney",30,0,"Large-City","Divorced",0,0,2,2,2,1,1,1,1,1,1,1,3,1,2,1,3,1,2,1,1,1,4,1,1,2,1,1,3,2,3,1,1,3,3,1,3,1,1,3,3,5,4,4,4,4,4,"yes","no",1.6,1.4,2.15,4,0.92,"VHigh"
"United States",55,"Female","Yes Kids","deg","unemployed",250000," houswife",23,0,"Large Town","Married",1,1,3,2,1,1,1,1,1,1,4,1,3,2,3,1,2,4,2,3,1,3,5,1,1,1,1,1,4,2,5,1,3,4,1,1,4,3,1,5,5,5,4,5,4,5,4,"yes","no",1.6,2.13333333333333,2.7,4.4,0.92,"VHigh"
"United States",55,"Male","No Kids","deg","full-time",250000,"Executive",14,0,"Large-City","Single",0,0,5,5,3,3,3,2,2,2,4,3,2,5,5,3,3,5,3,5,5,4,5,4,3,5,2,3,5,3,5,5,4,5,3,5,5,5,4,5,5,5,2,3,3,3,1,"yes","yes",3.8,3.53333333333333,4.3,2.4,0.92,"VHigh"
"United States",45,"Male","Yes Kids","deg","full-time",150000,"Marketing",1,10,"Medium-Sized","Married",2,0,4,4,1,1,1,4,2,2,2,2,1,4,3,2,3,4,4,4,3,3,4,2,3,3,4,3,4,1,4,4,3,4,4,4,3,4,4,4,5,4,3,3,3,3,3,"yes","no",2.2,2.86666666666667,3.55,3,0.92,"VHigh"
"United States",28,"Female","No Kids","ma","full-time",45000,"writer",3,9,"Small City","Single",0,0,4,4,3,1,1,1,1,1,1,1,4,3,3,1,4,2,1,3,1,3,3,1,2,1,1,2,4,3,5,1,1,4,1,4,3,5,4,3,3,3,5,5,4,5,5,"yes","no",2.6,2,2.7,4.8,0.92,"VHigh"
"United States",45,"Female","Yes Kids","phd","full-time",150000,"Missing",3,0,"Large-City","Married",1,1,4,3,2,2,2,1,1,1,3,2,1,1,2,2,4,2,2,2,2,2,4,2,2,5,2,3,3,3,4,3,3,4,2,3,3,5,3,5,3,3,3,4,4,4,3,"yes","no",2.6,1.86666666666667,3.25,3.6,0.92,"VHigh"
"United States",23,"Female","No Kids","deg","full-time",35000,"Lab Services Assistant",0,7,"Large-City","Single",0,0,3,4,1,1,1,1,1,1,3,2,1,3,5,5,5,2,3,1,3,3,5,1,1,2,2,3,2,2,4,4,4,3,1,1,3,4,2,3,4,5,4,4,5,5,2,"yes","no",2,2.6,2.8,4,0.92,"VHigh"
"United States",23,"Male","No Kids","ltuni","unemployed",10000,"Missing",0,0,"Large-City","Single",0,0,5,5,5,5,5,3,4,3,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,1,5,5,5,4,4,5,5,5,5,5,5,1,1,2,1,2,"yes","yes",5,4.46666666666667,4.65,1.4,0.92,"VHigh"
"United States",37.5,"Female","No Kids","phd","full-time",67500,"college professor",10,0,"Large-City","Single",0,0,4,4,3,4,4,3,3,4,3,4,3,4,4,5,4,4,3,4,2,3,4,2,3,3,3,3,4,4,4,2,4,4,3,4,4,4,3,4,4,4,3,3,3,3,3,"yes","yes",3.8,3.53333333333333,3.5,3,0.92,"VHigh"
"United States",25,"Female","No Kids","ma","student",10000,"Missing",0,0,"Large-City","Single",0,0,4,4,3,2,2,1,1,5,4,3,5,3,4,3,3,3,4,2,3,3,4,3,4,3,3,3,3,4,4,3,4,3,1,3,3,3,2,3,3,4,4,4,5,5,3,"yes","yes",3,3.13333333333333,3.15,4.2,0.92,"VHigh"
"United States",37.5,"Female","No Kids","deg","full-time",-0.01,"ceo",0,0,"Large-City","Married",0,0,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,2,4,3,4,4,4,4,4,5,4,4,5,2,4,4,4,5,4,5,5,5,5,5,1,5,2,4,3,4,2,"yes","yes",3.6,4.4,4.2,3,0.92,"VHigh"
"United States",25,"Female","No Kids","ma","student",15000,"Missing",1,6,"Medium-Sized","Single",0,0,3,2,2,1,1,3,1,1,2,1,1,1,2,1,3,2,2,3,1,1,4,1,2,2,1,2,2,3,4,1,1,3,2,4,4,2,2,4,4,4,3,2,4,4,4,"yes","no",1.8,1.66666666666667,2.6,3.4,0.92,"VHigh"
"United States",24,"Male","No Kids","ltuni","unemployed",45000,"Film Industry/Miscelanious",6,0,"Large-City","Single",0,0,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,2,5,1,5,5,5,2,5,5,3,5,3,5,3,3,5,5,1,4,4,4,5,5,5,4,4,1,2,3,"Missing","Missing",5,4.13333333333333,4.1,2.8,0.92,"VHigh"
"United States",28,"Male","No Kids","ma","student",15000,"Missing",3,6,"Large Town","Married",0,0,4,4,4,3,3,2,1,5,1,4,5,5,4,4,4,4,2,5,1,4,4,2,3,3,3,2,2,5,4,1,5,4,3,4,4,3,3,3,4,3,2,2,2,2,2,"yes","yes",3.6,3.4,3.25,2,0.92,"VHigh"
"United States",37.5,"Female","No Kids","deg","full-time",67500,"Missing",4,3,"Medium-Sized","Divorced",0,0,4,4,3,3,3,2,2,4,4,4,3,2,4,3,4,3,3,4,2,3,4,3,4,5,3,3,4,4,4,3,4,4,3,4,4,4,3,5,5,5,1,1,2,1,3,"yes","yes",3.4,3.13333333333333,3.9,1.6,0.92,"VHigh"
"United States",45,"Female","Yes Kids","ma","full-time",25000," acupuncturist",5,8,"Small City","Married",1,0,3,3,4,3,3,3,2,5,4,3,4,3,4,4,4,4,4,3,4,4,4,3,4,3,5,4,3,4,4,4,4,4,3,4,5,4,3,4,4,4,2,3,3,2,1,"yes","yes",3.2,3.66666666666667,3.85,2.2,0.92,"VHigh"
"United States",32.5,"Female","No Kids","ma","full-time",45000," teacher",5,0,"Large-City","Single",0,0,3,2,4,3,3,2,2,4,3,2,1,3,4,2,4,5,2,5,1,3,4,3,3,4,3,3,3,3,4,4,3,4,3,3,4,4,4,4,3,4,3,2,3,2,3,"yes","no",3,2.86666666666667,3.5,2.6,0.92,"VHigh"
